Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2024-08-20,2024-08-27,621.65,629.75,1.3,7,max_hold,2.003,2.61
2024-08-28,2024-08-29,624.5,656.9,5.19,1,profit_target,0.879,4.559
2024-08-30,2024-09-06,665.75,689.3,3.54,7,profit_target,1.888,6.678
2024-09-11,2024-09-18,678.0,652.85,-3.71,7,trailing_stoploss,0.341,-1.264
2024-09-19,2024-09-26,644.75,631.7,-2.02,7,max_hold,2.408,-4.873
2024-09-27,2024-10-04,630.25,602.45,-4.41,7,trailing_stoploss,0.041,-0.183
2024-10-07,2024-10-11,588.95,607.7,3.18,4,profit_target,2.502,7.965
2024-10-14,2024-10-21,621.35,608.6,-2.05,7,max_hold,5.568,-11.425
2024-10-22,2024-10-23,584.55,606.7,3.79,1,profit_target,8.601,32.592
2024-10-24,2024-10-31,605.9,612.0,1.01,7,max_hold,9.497,9.561
2024-11-01,2024-11-08,615.5,619.85,0.71,7,max_hold,7.41,5.237
2024-11-11,2024-11-14,589.85,559.1,-5.21,3,trailing_stoploss,4.39,-22.886
2024-11-18,2024-11-26,553.1,597.95,8.11,8,profit_target,1.948,15.797
2024-11-27,2024-12-04,628.2,660.75,5.18,7,profit_target,1.046,5.419
2024-12-05,2024-12-12,670.05,675.2,0.77,7,max_hold,1.802,1.385
2024-12-13,2024-12-20,675.05,635.7,-5.83,7,trailing_stoploss,2.691,-15.684
2024-12-23,2024-12-30,621.5,592.6,-4.65,7,trailing_stoploss,7.207,-33.513
2024-12-31,2025-01-02,599.4,628.05,4.78,2,profit_target,7.309,34.938
2025-01-03,2025-01-10,628.65,609.65,-3.02,7,max_hold,2.552,-7.712
2025-01-13,2025-01-20,587.65,560.2,-4.67,7,trailing_stoploss,3.458,-16.155
2025-01-21,2025-01-23,560.95,591.1,5.37,2,profit_target,5.882,31.617
2025-01-24,2025-01-28,562.55,511.25,-9.12,4,trailing_stoploss,2.964,-27.033
2025-01-29,2025-02-04,532.85,536.85,0.75,6,max_hold,3.062,2.299
2025-02-05,2025-02-07,549.95,489.3,-11.03,2,trailing_stoploss,5.328,-58.761
2025-02-10,2025-02-11,467.2,446.15,-4.51,1,trailing_stoploss,4.676,-21.067
2025-02-12,2025-02-14,443.8,420.2,-5.32,2,trailing_stoploss,4.63,-24.621
2025-02-17,2025-02-24,420.2,406.0,-3.38,7,max_hold,4.461,-15.076
2025-02-25,2025-02-28,394.05,361.0,-8.39,3,trailing_stoploss,7.703,-64.608
2025-03-03,2025-03-05,369.8,387.0,4.65,2,profit_target,3.104,14.438
2025-03-06,2025-03-10,392.6,375.05,-4.47,4,trailing_stoploss,1.768,-7.903
2025-03-11,2025-03-17,361.95,346.7,-4.21,6,trailing_stoploss,3.31,-13.945
2025-03-18,2025-03-21,354.65,375.1,5.77,3,profit_target,4.212,24.287
2025-03-25,2025-03-28,370.05,345.7,-6.58,3,trailing_stoploss,0.745,-4.905
2025-04-01,2025-04-04,348.6,321.45,-7.79,3,trailing_stoploss,2.032,-15.829
2025-04-07,2025-04-09,301.1,312.7,3.85,2,profit_target,6.371,24.543
2025-04-11,2025-04-15,315.55,333.4,5.66,4,profit_target,1.993,11.272
2025-04-22,2025-04-24,321.2,355.5,10.68,2,profit_target,0.679,7.251
2025-04-25,2025-04-28,337.9,362.75,7.35,3,profit_target,0.038,0.278
2025-05-02,2025-05-06,420.65,385.3,-8.4,4,trailing_stoploss,1.499,-12.6
