Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2022-09-29,2022-10-07,8428.6,8550.05,1.44,8,max_hold,5.813,8.376
2022-10-13,2022-10-17,8312.85,7782.8,-6.38,4,trailing_stoploss,1.052,-6.708
2022-11-21,2022-11-28,6855.75,6796.95,-0.86,7,max_hold,0.111,-0.095
2022-12-15,2022-12-21,6550.35,6202.6,-5.31,6,trailing_stoploss,14.632,-77.679
2022-12-23,2022-12-26,5837.6,6252.65,7.11,3,profit_target,13.967,99.307
2022-12-28,2023-01-04,6332.05,6369.55,0.59,7,max_hold,16.634,9.851
2023-01-05,2023-01-12,6287.45,6196.65,-1.44,7,max_hold,1.089,-1.573
2023-01-16,2023-01-23,6252.85,6655.45,6.44,7,profit_target,4.488,28.894
2023-01-24,2023-02-01,6698.85,6597.15,-1.52,8,max_hold,3.923,-5.955
2023-02-02,2023-02-09,6588.25,6685.15,1.47,7,max_hold,4.056,5.966
2023-02-10,2023-02-17,6683.65,6662.9,-0.31,7,max_hold,17.067,-5.299
2023-02-20,2023-02-27,6666.9,6358.7,-4.62,7,trailing_stoploss,11.708,-54.124
2023-02-28,2023-03-08,6129.25,6340.2,3.44,8,profit_target,27.798,95.673
2023-03-09,2023-03-16,6284.55,6115.1,-2.7,7,max_hold,11.479,-30.95
2023-03-17,2023-03-24,6159.0,6000.7,-2.57,7,max_hold,0.428,-1.101
2023-04-03,2023-04-10,6011.3,6201.1,3.16,7,profit_target,1.596,5.04
2023-04-21,2023-04-27,6281.0,6578.2,4.73,6,profit_target,8.119,38.416
2023-05-02,2023-05-09,6643.25,6991.95,5.25,7,profit_target,1.631,8.563
2023-05-15,2023-05-22,7031.6,6931.0,-1.43,7,max_hold,3.157,-4.517
