Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2025-01-08,2025-01-14,3335.5,3188.4,-4.41,6,trailing_stoploss,4.918,-21.691
2025-01-15,2025-01-22,3214.85,3155.25,-1.85,7,max_hold,10.395,-19.272
2025-01-28,2025-01-29,2980.85,3133.05,5.11,1,profit_target,0.145,0.74
2025-01-30,2025-02-01,3004.0,3201.3,6.57,2,profit_target,13.601,89.329
2025-02-04,2025-02-05,3196.05,3299.0,3.22,1,profit_target,0.981,3.159
2025-02-10,2025-02-17,3147.85,2999.7,-4.71,7,trailing_stoploss,0.137,-0.646
2025-02-24,2025-02-27,3075.35,2950.95,-4.05,3,trailing_stoploss,7.174,-29.021
2025-02-28,2025-03-03,2833.9,2622.55,-7.46,3,trailing_stoploss,3.346,-24.956
2025-03-05,2025-03-06,2692.7,2787.45,3.52,1,profit_target,8.143,28.654
2025-03-07,2025-03-11,2793.1,2592.2,-7.19,4,trailing_stoploss,3.116,-22.41
2025-03-12,2025-03-20,2615.25,2620.8,0.21,8,max_hold,9.39,1.993
2025-03-24,2025-04-01,2758.2,2737.6,-0.75,8,max_hold,2.899,-2.165
2025-04-02,2025-04-04,2745.4,2643.65,-3.71,2,trailing_stoploss,6.064,-22.473
2025-04-07,2025-04-16,2496.75,2517.2,0.82,9,max_hold,5.908,4.839
2025-04-21,2025-04-28,2580.4,2543.1,-1.45,7,trailing_stoploss,1.043,-1.508
