Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2024-05-18,2024-05-27,1778.0,1808.2,1.7,9,max_hold,5.381,9.14
2024-06-03,2024-06-05,1730.7,1795.1,3.72,2,profit_target,3.206,11.929
2024-06-06,2024-06-07,1803.05,1924.8,6.75,1,profit_target,1.441,9.728
2024-06-11,2024-06-18,1863.75,1920.65,3.05,7,profit_target,2.516,7.681
2024-06-19,2024-06-26,1891.7,1832.8,-3.11,7,max_hold,1.781,-5.544
2024-06-27,2024-07-04,1845.45,1827.9,-0.95,7,max_hold,6.771,-6.44
2024-07-05,2024-07-12,1792.55,1838.0,2.54,7,max_hold,5.844,14.818
2024-07-15,2024-07-23,1859.35,1856.4,-0.16,8,max_hold,12.582,-1.996
2024-07-26,2024-08-02,1789.9,1770.0,-1.11,7,max_hold,4.409,-4.902
2024-08-05,2024-08-12,1703.05,1665.05,-2.23,7,max_hold,7.92,-17.671
2024-08-13,2024-08-14,1669.15,1734.9,3.94,1,profit_target,2.832,11.154
2024-08-16,2024-08-20,1785.25,1934.8,8.38,4,profit_target,2.632,22.048
2024-08-21,2024-08-28,2012.2,2012.7,0.02,7,max_hold,4.516,0.112
2024-09-02,2024-09-09,1985.1,1959.75,-1.28,7,max_hold,3.543,-4.524
2024-09-19,2024-09-26,2048.45,1970.2,-3.82,7,trailing_stoploss,0.21,-0.803
2024-09-27,2024-10-07,1901.85,1841.5,-3.17,10,max_hold,2.905,-9.219
2024-10-08,2024-10-15,1832.15,1881.1,2.67,7,max_hold,0.528,1.41
2024-10-16,2024-10-22,1845.05,1704.45,-7.62,6,trailing_stoploss,2.488,-18.962
2024-10-23,2024-10-24,1722.7,1777.55,3.18,1,profit_target,10.752,34.235
2024-10-25,2024-11-01,1798.1,1844.5,2.58,7,max_hold,9.802,25.294
2024-11-04,2024-11-06,1840.95,1910.05,3.75,2,profit_target,4.225,15.859
2024-11-07,2024-11-12,1921.85,1820.8,-5.26,5,trailing_stoploss,4.542,-23.88
2024-11-14,2024-11-25,1801.6,1846.6,2.5,11,max_hold,12.957,32.363
2024-11-26,2024-12-03,1868.7,1876.6,0.42,7,max_hold,6.852,2.897
2024-12-04,2024-12-06,1935.05,1998.45,3.28,2,profit_target,4.429,14.512
