Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2024-10-24,2024-10-31,5691.2,5372.5,-5.6,7,trailing_stoploss,14.682,-82.22
2024-11-01,2024-11-06,5389.0,5717.65,6.1,5,profit_target,0.889,5.421
2024-11-07,2024-11-14,5737.4,5713.8,-0.41,7,max_hold,0.481,-0.198
2024-11-18,2024-11-25,5646.1,5917.7,4.81,7,profit_target,17.975,86.465
2024-11-26,2024-12-03,5968.95,6041.3,1.21,7,max_hold,15.457,18.735
2024-12-04,2024-12-09,6011.35,6234.25,3.71,5,profit_target,0.629,2.331
2024-12-10,2024-12-17,6345.35,6549.35,3.21,7,profit_target,12.009,38.607
2024-12-26,2024-12-30,6395.8,6637.7,3.78,4,profit_target,6.964,26.339
2024-12-31,2025-01-07,6457.7,6334.3,-1.91,7,max_hold,9.839,-18.8
2025-01-08,2025-01-13,6230.2,6003.4,-3.64,5,trailing_stoploss,7.611,-27.708
2025-01-14,2025-01-15,5880.1,6111.25,3.93,1,profit_target,13.166,51.755
2025-01-16,2025-01-22,6071.6,5683.15,-6.4,6,trailing_stoploss,8.815,-56.396
2025-01-29,2025-02-01,6275.95,5933.55,-5.46,3,trailing_stoploss,1.189,-6.489
2025-02-04,2025-02-10,6111.9,5993.9,-1.93,6,trailing_stoploss,0.844,-1.63
2025-02-24,2025-02-28,5639.8,5303.9,-5.96,4,trailing_stoploss,7.742,-46.112
2025-03-03,2025-03-10,5292.55,5167.0,-2.37,7,trailing_stoploss,0.926,-2.197
2025-03-11,2025-03-19,5239.95,5280.6,0.78,8,max_hold,6.712,5.207
2025-03-24,2025-03-27,5421.3,5641.45,4.06,3,profit_target,3.079,12.503
2025-04-02,2025-04-03,5317.5,4793.35,-9.86,1,trailing_stoploss,5.664,-55.827
2025-04-04,2025-04-09,4609.95,4402.75,-4.49,5,trailing_stoploss,10.507,-47.226
2025-04-21,2025-04-23,4900.5,5163.5,5.37,2,profit_target,0.984,5.282
2025-04-25,2025-05-05,5273.5,5533.0,4.92,10,profit_target,5.71,28.1
