Date,Open,High,Low,Close,Volume
2003-08-25,13933.45,14193.35,13142.6,13522.95,30749892.0
2003-08-26,13527.65,14105.6,13527.65,13997.35,28272824.0
2003-08-27,14156.95,14593.95,14156.95,14527.3,30199773.0
2003-08-28,14623.9,15151.7,14623.9,15049.2,56136692.0
2003-08-29,15071.2,15546.55,14932.6,15056.3,47927044.0
2003-09-01,15057.85,15360.1,15050.75,15283.95,25717280.0
2003-09-02,15311.9,15601.1,15187.25,15544.3,39769777.0
2003-09-03,15779.9,15901.8,15171.8,15275.3,40565711.0
2003-09-04,15340.2,16467.5,15340.2,16358.25,44656809.0
2003-09-05,16436.25,16778.1,16371.15,16712.6,44867799.0
2003-09-08,16755.55,17102.8,16755.55,17022.7,37013436.0
2003-09-09,17074.45,17617.1,17074.45,17313.65,64786564.0
2003-09-10,17315.75,17345.05,16690.55,16998.8,55718502.0
2003-09-11,16842.0,16910.95,16552.8,16638.5,36926786.0
2003-09-12,16767.8,16968.3,16140.2,16264.6,42485456.0
2003-09-15,16189.05,16236.35,15317.3,15412.8,37644100.0
2003-09-16,15342.55,16323.85,15261.15,16240.75,39124849.0
2003-09-17,16614.35,16847.3,16272.35,16414.05,36045859.0
2003-09-18,16426.75,16432.85,15789.4,15868.0,38506904.0
2003-09-19,16032.5,16296.55,15679.2,16144.95,34443376.0
2003-09-22,16248.2,16367.8,16043.15,16100.0,23958048.0
2003-09-23,16039.6,16197.15,15775.5,16138.25,32536805.0
2003-09-24,16206.05,16838.35,16200.15,16791.35,44259286.0
2003-09-25,16689.2,16804.85,16464.15,16664.25,39787470.0
2003-09-26,16635.05,17239.7,16604.0,17198.45,37599180.0
2003-09-29,17177.3,17380.4,17042.95,17107.1,31993184.0
2003-09-30,17204.7,17392.1,17143.25,17315.55,30161501.0
2003-10-01,17186.65,17570.2,17092.75,17357.4,31140031.0
2003-10-03,17384.25,17629.65,17142.4,17195.9,34431087.0
2003-10-06,16302.0,17522.9,16302.0,17393.45,30781679.0
2003-10-07,17406.15,17614.5,17135.15,17200.1,28162710.0
2003-10-08,17223.1,17337.5,16693.6,16957.5,29396167.0
2003-10-09,17042.75,17388.85,17037.2,17236.5,22781293.0
2003-10-10,17521.85,18319.85,17446.8,18231.0,47779106.0
2003-10-13,18354.0,18837.45,18354.0,18646.95,36052130.0
2003-10-14,18778.9,18902.0,18286.45,18378.25,39543025.0
2003-10-15,18346.5,18551.9,18001.5,18425.85,27996181.0
2003-10-16,18489.3,18674.05,18265.35,18405.8,19385020.0
2003-10-17,18629.95,18969.4,18494.6,18926.8,37368078.0
2003-10-20,18929.1,18952.7,18326.65,18436.95,27979753.0
2003-10-21,18658.25,18658.25,17759.8,17863.9,26534867.0
2003-10-22,17872.8,18027.8,17305.2,17434.2,27327194.0
2003-10-23,17471.4,17554.1,17006.1,17069.85,31624421.0
2003-10-24,17098.95,17854.85,17086.75,17775.85,34778540.0
2003-10-25,17999.9,18116.65,17826.75,17861.7,8428644.0
2003-10-27,17853.5,17853.5,17194.3,17235.0,23558885.0
2003-10-28,17347.95,17588.1,17212.9,17382.15,26925190.0
2003-10-29,17431.9,17697.35,17412.05,17617.65,20785686.0
2003-10-30,17686.55,17861.3,17589.35,17672.9,25021154.0
2003-10-31,17589.2,18602.65,17584.3,18550.6,34446686.0
2003-11-03,18566.45,19615.1,18566.45,19497.9,35063206.0
2003-11-04,19796.2,20213.45,19727.2,19870.3,46218497.0
2003-11-05,19898.5,19916.85,19471.45,19770.0,41666604.0
